,ffr_rate,ffr_1d_change,ffr_5d_change,ffr_20d_change,ffr_momentum,ffr_volatility,gdp_level,gdp_growth,gdp_momentum,gdp_ffr_ratio,macro_signal
2024-09-06,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-07,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-08,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-09,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-10,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-11,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-12,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-13,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-14,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-15,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-16,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-17,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-18,5.33,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-19,4.83,-0.5,-0.5,-0.5,-9.380863039399623,0.11180339887498944,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-20,4.83,0.0,-0.5,-0.5,-9.380863039399623,0.15389675281277296,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-21,4.83,0.0,-0.5,-0.5,-9.380863039399623,0.18317377426626144,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-22,4.83,0.0,-0.5,-0.5,-9.380863039399623,0.2051956704170306,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-23,4.83,0.0,-0.5,-0.5,-9.380863039399623,0.22213082915965943,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-24,4.83,0.0,0.0,-0.5,0.0,0.23508117299081338,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-25,4.83,0.0,0.0,-0.5,0.0,0.24468024246479622,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-26,4.83,0.0,0.0,-0.5,0.0,0.2513123449750171,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-27,4.83,0.0,0.0,-0.5,0.0,0.2552088927670201,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-28,4.83,0.0,0.0,-0.5,0.0,0.2564945880212884,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-29,4.83,0.0,0.0,-0.5,0.0,0.2552088927670201,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-09-30,4.83,0.0,0.0,-0.5,0.0,0.2513123449750171,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
